ID,ra,dec,pmRA,pmDEC,plx,Tmag,Jmag,Vmag,TWOMASS,GAIA,objType,typeSrc
193974787,230.254375947939,50.8896649408858,53.9276,-172.631,61.9989,14.5635,12.014,19.61,15210103+5053230,1595520568815311744,STAR,tmgaia2
286963145,217.180113621051,33.177568266834,-346.76,-710.107,90.9962,15.0997,11.99,19.53,14284323+3310391,1287312100751643776,STAR,tmgaia2
364981864,163.947260041888,8.14525914259855,-329.775,-138.182,53.3382,15.553,12.55,,10554733+0808427,3865934633321490048,STAR,tmgaia2
902237947,170.454883683954,-13.2190913238615,-472.248,-46.2605,69.4903,14.8828,,,,3562157781229213312,STAR,gaia2
471016474,353.793592352535,-2.38905966331422,781.668,-841.422,139.31,11.2788,9.148,15.2,23351050-0223214,2640434056928150400,STAR,tmgaia2
349987823,154.361656024456,7.32385947625017,-164.972,-95.56,41.1422,14.8629,12.504,,10172680+0719260,3873864513044635648,STAR,tmgaia2
248350761,17.463356242999,-3.72399674153187,368.88,8.54,,14.8184,11.694,19.53,01095117-0343264,2531195858721613056,STAR,tmgaia2
34309473,62.3412235975764,-6.08882371279933,,,,15.1133,12.745,18.41,04092184-0605185,3197207916098620544,STAR,gaia2
86019856,139.062525096926,21.6641961115675,-200.281,-43.2781,48.8137,16.2473,13.223,,09161504+2139512,638510247908168576,STAR,tmgaia2
407882514,282.211514928137,-82.2462113176211,,,,13.8838,11.482,,18485108-8214422,6359521108406068992,STAR,tmgaia2
67808251,64.4061877084734,-8.00011485401335,463.0,37.0,,14.6201,12.182,,04173745-0800007,3192982561632526208,STAR,tmgaia2
459751104,163.616153945526,-54.5256692998756,-149.654,178.44,40.8137,14.7358,12.322,,10542786-5431322,5353308264949689728,STAR,tmgaia2
308773845,151.633112346105,-16.8906415811571,-317.426,191.481,49.8335,14.4471,12.036,,10063197-1653266,5673602319993218560,STAR,tmgaia2
311188315,225.284114344615,22.8338922307961,-44.0,-57.0,,14.9639,11.866,,15010818+2250020,1262763648230973440,STAR,tmgaia2
23997017,238.184333155702,-26.3861022077865,533.73,-694.3,,12.4679,10.258,16.58,15524460-2623134,6235533167875990272,STAR,tmgaia2
139471770,35.6986150596921,-27.5430859567697,-194.176,-133.323,58.7963,14.512,12.053,,02224767-2732349,5116817882319879936,STAR,tmgaia2
291108374,178.469479197865,6.99896060349387,314.696,-894.431,67.1826,13.5748,11.256,18.73,11535267+0659561,3899128064731508736,STAR,tmgaia2
387191562,303.840274371442,-56.7656093024803,-70.0,-247.0,,15.0595,12.512,,20152158-5645550,6468714845110882048,STAR,tmgaia2
365064283,201.878937218366,1.8273388411463,-173.2,3.81,,14.7615,12.454,19.55,13273095+0149384,3711482627195848576,STAR,tmgaia2
445064836,130.333870614989,59.4973457803631,-260.421,-1279.61,105.386,11.576,9.615,15.18,08412013+5929505,1040827088726734976,STAR,tmgaia2
388903843,83.8387318616272,-9.51847870484354,343.893,-230.67,52.1754,14.0857,11.821,,05352131-0931067,3013672487388307456,STAR,tmgaia2
334937178,186.217441475253,-12.6432523181961,-304.577,-188.971,58.1118,15.674,12.571,,12245222-1238352,3576327737332306688,STAR,tmgaia2
416670281,52.1443492850553,11.4976922377085,541.798,256.268,55.908,15.288,12.463,,03283463+1129515,16386404041502592,STAR,tmgaia2
304392811,352.84062180767,-27.8304668221005,86.0,750.0,,14.0767,11.646,19.3,23312174-2749500,2331849006126794880,STAR,tmgaia2
204721469,185.98411918527,-27.9629160026327,-1257.98,308.274,47.5722,14.129,11.977,18.74,12235633-2757468,3474993275382942208,STAR,tmgaia2
289113766,115.080715276815,-17.4127529972532,1152.39,-536.548,109.054,12.3016,10.155,,07401922-1724449,5717278911884264576,STAR,tmgaia2
43213934,214.942428601374,31.6192757513119,104.214,-21.2865,52.6479,13.8158,11.696,17.51,14194617+3137094,1477762323724646272,STAR,tmgaia2
301501433,166.579059851057,4.47574077279243,-349.439,372.211,46.891,14.7135,12.329,,11061897+0428327,3815413929451499904,STAR,tmgaia2
57984826,5.12253487232816,33.0851188211303,1075.53,-863.656,81.6314,12.3728,10.284,15.9,00202922+3305081,2863419584886542080,STAR,tmgaia2
390531051,189.901819323134,-26.9697119548037,-585.409,-188.445,91.1052,11.9306,10.042,15.324,12393641-2658111,3496355755520065408,STAR,tmgaia2
270470901,135.52877994747,0.555427241026705,-462.0,-104.0,,14.4057,12.106,18.5,09020690+0033195,576506489410890752,STAR,tmgaia2
198555502,237.777524721527,64.9513179172288,-226.876,10.0059,43.6378,15.5761,12.887,,15510662+6457047,1641189157936120704,STAR,tmgaia2
281706120,162.178395268573,1.19950596086311,-440.006,-231.468,66.4589,16.1646,12.924,,10484281+0111580,3808159454810609280,STAR,tmgaia2
175241416,130.123665326098,18.4024240588343,-810.287,-448.989,73.7602,13.326,11.053,18.17,08402975+1824091,659464504288593536,STAR,tmgaia2
143029977,54.8968160952369,-35.4288192945425,322.0,276.0,,13.8971,10.725,,03393521-3525440,4860376345833699840,STAR,tmgaia2
142944290,52.8761119519272,-30.7107895551518,43.0,-402.0,,13.8414,11.36,,03313025-3042383,5055805741577757824,STAR,tmgaia2
212324934,309.84925428742,-29.4429643380737,319.693,-737.301,55.6791,13.7711,11.357,17.84,20392378-2926335,6798222846275675520,STAR,tmgaia2
926898,127.142380501753,-13.1555116785661,-581.562,27.5379,85.5438,16.0815,12.803,,08283419-1309198,5723739672264914176,STAR,tmgaia2
180724005,15.7127122266603,-37.6288254585148,1470.13,251.188,87.8684,13.5527,11.13,15.63,01025100-3737438,4989399774745144448,STAR,tmgaia2
293520468,142.843002502587,-17.295090162857,-367.199,-152.132,72.1829,13.5359,11.073,17.85,09312228-1717425,5682008056323530368,STAR,gaia2
320207059,294.966693664485,-57.8427321509098,75.1664,114.238,46.961,14.6605,12.245,,19395199-5750339,6448329418495400960,STAR,tmgaia2
427580418,54.9709569301071,24.9573238591658,,,,15.76,12.841,20.13,03395284+2457273,68553214259082240,STAR,gaia2
202408306,210.842882441892,30.1318437062388,-802.534,38.954,50.484,15.53,12.684,19.99,14032232+3007547,1454104436971779328,STAR,tmgaia2
1206384476,248.45445497798,-68.1467259904448,-218.766,-314.769,65.6717,13.802,,,,5809399363316632064,STAR,gaia2
174821904,90.626948423832,39.1829406638552,156.89,-506.282,85.614,15.6513,12.3,,06023045+3910592,3457493517036545280,STAR,tmgaia2
30101427,206.691832524207,-31.8237747094879,-337.5,162.48,,13.1743,10.975,17.44,13464607-3149258,6171593062022433920,STAR,tmgaia2
165945176,195.030963476976,30.6490746889634,-326.717,388.778,48.4148,13.9153,11.89,17.66,13000747+3038560,1464745617881550208,STAR,tmgaia2
229104558,17.2578412442222,-51.0133889819459,,,,15.1357,12.228,,01090150-5100494,4928644747924606848,STAR,tmgaia2
348769612,58.6925123978239,24.2735044322006,-283.0,-221.0,,12.7814,10.585,16.33,03544620+2416246,65829792677145344,STAR,tmgaia2
156746159,275.367324186427,14.2335685454059,227.324,-246.409,106.874,17.216,13.431,,18212815+1414010,4485574134969389312,STAR,tmgaia2
149565536,195.177115975213,19.2096111646043,-810.521,-1248.53,71.6755,15.8919,12.717,,13004255+1912354,3941342198772052352,STAR,tmgaia2
442929628,80.9092660842022,-14.0505580386069,107.254,160.897,78.3632,16.491,13.084,,05233822-1403022,2985035874544160384,STAR,tmgaia2
415839928,197.341045948603,-23.509992432035,22.0,-369.0,,14.341,11.785,,13092185-2330350,3504014060164255104,STAR,tmgaia2
219066411,251.631394930915,34.582014076226,-389.0,-388.0,,12.6605,10.533,16.69,16463154+3434554,1326893351115617024,STAR,tmgaia2
229115214,17.947984176273,-49.1358144565345,-285.0,-447.0,,13.7022,11.538,17.6,01114752-4908087,4929042942932181888,STAR,tmgaia2
459972249,75.0875531778096,3.51391064260341,10.2027,-351.69,76.2093,17.5052,13.669,,05002100+0330501,3238449635184620672,STAR,tmgaia2
5630425,178.928514624616,-22.4163551052755,-367.0,-182.0,,13.3412,10.93,,11554286-2224586,3493736924979792768,STAR,tmgaia2
306114021,87.8546004459464,55.1891197311834,-23.8876,-225.428,50.8186,13.9664,11.738,,05512511+5511208,265201384281320448,STAR,tmgaia2
60987924,29.5655006510136,18.1202508390589,-88.2001,86.7773,50.8431,14.0288,11.968,18.15,01581572+1807128,91196316201965184,STAR,tmgaia2
209066156,209.840132682075,-56.6090269464357,,,,15.0105,12.601,,13592210-5636318,5872178694156653440,STAR,tmgaia2
29959288,42.1708289087182,-16.8561424426106,-33.2961,-289.527,44.5509,15.0942,12.551,,02484100-1651216,5156623295621846016,STAR,tmgaia2
219095664,269.31421578055,70.7003124551735,4.0,331.0,,13.8831,11.452,18.84,17571539+7042011,1638180413086979840,STAR,tmgaia2
161640200,215.380901659388,18.4612495224339,-753.54,-164.42,52.6729,16.4915,13.231,,14213145+1827407,1239625559894563968,STAR,tmgaia2
434261118,64.1781682848794,13.1828575855445,-40.3712,-197.919,48.106,13.9894,11.811,18.45,04164276+1310587,3310480909661217664,STAR,tmgaia2
469392302,307.299838265796,57.8421268583905,21.4293,-327.294,55.8821,13.4664,11.364,17.228,20291194+5750317,2188222203084317184,STAR,tmgaia2
13270128,36.3596077220533,62.4994631214529,258.374,-225.769,48.5285,14.3861,12.049,19.33,02252626+6229583,513688675702458880,STAR,tmgaia2
1819197568,280.290131270061,-43.792702146564,-1.76096,-3.47399,0.289856,18.7307,,19.7151,,6709964738673253888,STAR,gaia2
441706467,215.760811170254,51.7751468061374,350.0,193.0,,14.144,11.885,18.73,14230252+5146303,1604901876901703168,STAR,tmgaia2
298554585,271.81640707694,50.2587872409162,24.4926,-136.91,68.3317,16.2814,12.934,,18071593+5015316,2123161836615550848,STAR,tmgaia2
287840802,84.347177488631,-8.26844250814358,5.60458,-421.694,42.9304,14.4588,12.299,19.0,05372332-0816055,3015584160150844416,STAR,tmgaia2
321695100,262.872577187863,27.3558697462211,188.23,-117.16,,15.2896,12.094,,17312974+2721233,4595127343251508992,STAR,tmgaia2
441000085,226.067482385081,-23.9324343654185,-348.0,-76.0,,14.4542,12.011,,15041621-2355564,6227871564690336512,STAR,tmgaia2
87378424,79.222856410152,56.6720293662977,135.0,-414.0,,13.372,11.166,17.46,05165345+5640195,279844370905734144,STAR,tmgaia2
22913463,235.123390319897,-26.2284897845668,-1152.0,-1156.0,,13.9686,11.646,16.0,15402966-2613422,6234648404610590208,STAR,tmgaia2
170804009,69.8919347126854,-32.5976577047306,-101.527,9.71076,49.5873,13.7409,11.605,18.25,04393407-3235516,4871414343064541824,STAR,tmgaia2
87302025,78.8789256248174,59.188203036869,120.0,-1012.0,,13.5981,11.32,18.44,05153094+5911184,281261607033049472,STAR,tmgaia2
148673115,169.877562407015,46.6952996503484,305.0,-605.0,,12.1087,10.087,16.3,11193058+4641437,788357434913891712,STAR,tmgaia2
60983539,140.570342061664,-8.86961986598319,30.3843,-89.4758,48.0071,13.8596,11.835,17.87,09221688-0852105,5744451451968477952,STAR,tmgaia2
53603145,103.082346330123,-25.5806850363168,-235.503,88.1546,62.4449,15.9418,12.759,,06521977-2534505,2920995300823950720,STAR,tmgaia2
157955474,280.842194009693,40.6726080343259,-121.23,588.37,,13.6923,11.313,18.0,18432213+4040209,2098514324976071424,STAR,tmgaia2
71581249,90.5072146793323,-10.0324011508882,-41.0146,-93.9679,45.6368,14.1224,11.991,18.47,06020172-1001565,2999321180586629120,STAR,tmgaia2
114742401,131.869757016695,-15.543715885019,132.701,-199.746,56.9235,16.933,13.513,,08472872-1532372,5733429157137237760,STAR,tmgaia2
3723412,245.268668241538,-37.1937561414586,-68.2552,-312.732,41.7574,14.9269,12.566,,16210447-3711373,6021535941318934912,STAR,tmgaia2
176935123,100.613116833192,-67.1221573532265,697.703,-408.949,74.1265,12.4744,10.615,15.73,06422703-6707193,5280389615847484416,STAR,tmgaia2
270218775,351.860202889134,-17.6924379403796,44.3183,-563.46,54.3305,13.8763,11.752,,23272645-1741329,2393563872239260928,STAR,tmgaia2
291872745,106.196030545974,2.97056419703819,-57.0,-179.0,,14.9054,12.531,19.1,07044706+0258139,3116021729853781376,STAR,tmgaia2
90452897,128.428118127601,-53.6097802703408,,,,14.3784,12.021,,08334323-5336417,5321049521489667328,STAR,tmgaia2
317021872,336.686046526923,-75.0617639914283,,,,14.9945,12.353,,22264440-7503425,6357834388848708224,STAR,tmgaia2
377172800,185.365471309071,2.95549210147112,-145.35,-43.5027,53.9501,16.3396,13.169,,12212770+0257198,3701479918946381184,STAR,tmgaia2
1042982,154.144453488447,27.8635625220758,-175.648,-461.334,49.4994,14.4178,11.987,18.58,10163470+2751497,740931340878555904,STAR,tmgaia2
160421026,234.934417165106,74.6245239133205,,,,15.6793,12.931,,15394442+7437273,1697766388465292800,STAR,tmgaia2
285002767,162.829136095684,56.2190759668329,-227.091,-315.828,63.9956,16.5697,13.244,,10511900+5613086,851053031037729408,STAR,tmgaia2
394356010,43.4372259489787,-79.9866559419386,,,,13.4635,11.336,17.325,02534448-7959133,4620448786799883136,STAR,tmgaia2
62892848,161.349924052258,-1.83271291143364,-507.705,-10.2373,58.6576,16.4359,13.16,,10452400-0149576,3802665122192531712,STAR,tmgaia2
201467079,92.6876654503839,-33.772892888726,669.104,531.455,58.4761,13.4905,11.519,17.18,06104503-3346226,2886691573123995520,STAR,tmgaia2
24108819,241.640811029944,40.9061204704987,-716.217,162.944,63.4206,13.2266,11.05,17.65,16063390+4054216,1380293091823646720,STAR,tmgaia2
1220362,71.4745680426933,-30.8057330316969,161.482,-419.678,61.9685,16.7389,13.393,,04455387-3048204,4878035808244168832,STAR,tmgaia2
