name,designation,spt,J,ew_ha,log_lha_lbol,ew_is_limit,logratio_is_limit,is_detection,multi_epoch_lowest,teff_K,vsini_kms,vsini_is_limit,fwhm_kms,fwhm_nm,vtan_kms,chi_rb_per_A,logratio_implied_rb,rb_residual_dex
2MASS 0913+18,2MASS J09130320+1841501,L3.0,15.97,0.2,-6.86,True,True,False,False,1950,34,False,52.02653169297373,0.11389203199856615,,7.259882101276194e-07,-6.8380404364156675,0.02195956358433282
2MASS 1203+00,2MASS J12035812+0015500,L3.0,14.01,1.17,-6.09,True,True,False,False,1950,39,False,58.4992307641733,0.12806151102677724,88.1,7.259882101276194e-07,-6.0708845703334875,0.019115429666512362
2MASS 1506+13,2MASS J15065441+1321060,L3.0,13.37,0.69,-6.32,False,False,True,True,1950,20,False,35.0,0.07661900553882513,74.2,7.259882101276194e-07,-6.300221341342393,0.019778658657607195
2MASS 1615+35,2MASS J16154416+3559005,L3.0,14.54,1.5,-5.98,True,True,False,False,1950,13,False,27.78920653779089,0.06083375341824445,,7.259882101276194e-07,-5.962979173023967,0.01702082697603302
2MASS 2104-10,2MASS J21041491-1037369,L3.0,13.84,1.53,-5.97,True,True,False,False,1950,27,False,43.2416465921454,0.09466091313575735,58.9,7.259882101276194e-07,-5.95437900126205,0.01562099873794942
2MASS 0036+18,2MASS J00361617+1821104,L3.5,12.47,1.09,-6.26,True,True,False,False,1880,45,False,66.40783086353596,0.1453743417358464,36.9,5.33072044783962e-07,-6.235787594087784,0.024212405912216184
2MASS 0700+31,2MASS J07003664+3157266,L3.5,12.92,1.78,-6.04,True,True,False,False,1880,41,False,61.120863868240605,0.13380056592167153,29.7,5.33072044783962e-07,-6.022794089719514,0.017205910280486236
2MASS 1705-05,2MASS J17054834-0516462,L4.0,13.31,0.2,-7.12,True,True,False,True,1820,26,False,42.02332685545017,0.09199387180278845,,3.959732879091168e-07,-7.101304114635145,0.018695885364855336
2MASS 2224-01,2MASS J22244381-0158521,L4.5,14.07,1.21,-6.48,True,True,False,False,1760,32,False,49.47767173180242,0.10831228584191831,52.8,2.8273593742199815e-07,-6.465833616269633,0.014166383730367826
2MASS 0004-40,2MASS J00043484-4044058,L5.0,13.11,0.2,-7.42,True,True,False,False,1700,42,False,62.43748873873772,0.1366828084429622,83.3,1.9204418361380631e-07,-7.415568845985986,0.0044311540140142824
2MASS 0835-08,2MASS J08354256-0819237,L5.0,13.17,0.2,-7.42,True,True,False,False,1700,23,False,38.44268460968874,0.08415543614391569,24.0,1.9204418361380631e-07,-7.415568845985986,0.0044311540140142824
2MASS 1507-16,2MASS J15074769-1627386,L5.0,12.83,0.29,-7.25,True,True,False,True,1700,32,False,49.47767173180242,0.10831228584191831,30.8,1.9204418361380631e-07,-7.254200843751011,-0.004200843751011263
2MASS 0825+21,2MASS J08251968+2115521,L7.5,15.1,0.2,-8.18,True,True,False,False,1500,19,False,33.89041162334857,0.07418998959664021,38.2,3.127074882856841e-08,-8.20383172308601,-0.023831723086010115
2MASS 0255-47,2MASS J02550357-4700509,L8.0,13.25,0.2,-8.28,True,True,False,False,1480,67,False,96.12200580512248,0.2104220712910189,28.6,2.458832832094149e-08,-8.30824100083802,-0.028241000838020724
